municipio,provincia,comunidad_autonoma,nombre,apellidos,cargo,email,tipo_email,fuente,origen,fecha_alta,hubspot_sync
Sant Jaume d'Enveja,Tarragona,Cataluña,,,,aj.stjenveja@altanet.org,General,https://www.dipta.cat/municipi/sant-jaume-enveja,manual,2026-09-01,
Alcanar,Tarragona,Cataluña,,,,ajuntament@alcanar.cat,General,https://www.dipta.cat/municipi/alcanar,manual,2026-09-01,
Creixell,Tarragona,Cataluña,,,,aj.creixell@altanet.org,General,https://www.dipta.cat/municipi/creixell,manual,2026-09-01,
Sant Carles de la Ràpita,Tarragona,Cataluña,,,,ajuntament@larapita.cat,General,https://www.larapita.cat/,manual,2026-09-01,
Vinaròs,Castellón,Comunidad Valenciana,,,,info@vinaros.es,General,https://www.vinaros.es/es/contenido/contacto,manual,2026-09-01,
Benicarló,Castellón,Comunidad Valenciana,,,,correu.contractacio@benicarlo.org,Contratación,https://www.ajuntamentdebenicarlo.org/,manual,2026-09-01,
Peñíscola,Castellón,Comunidad Valenciana,,,,contratacion@peniscola.org,Contratación,https://www.peniscola.org/ver/1321/Contrataci%C3%B3n.html,manual,2026-09-01,
Alcalà de Xivert,Castellón,Comunidad Valenciana,,,,axivert_pre@gva.es,General,https://administracion.gob.es/pagFront/espanaAdmon/directorioOrganigrama/fichaUnidadOrganica.htm?codigoUnidad=L01120043,manual,2026-09-01,
Torreblanca,Castellón,Comunidad Valenciana,,,,ayuntamiento@torreblanca.es,General,https://www.todoslosayuntamientos.es/comunidad-valenciana/castellon/torreblanca,manual,2026-09-01,
Oropesa del Mar,Castellón,Comunidad Valenciana,,,,sac@oropesadelmar.es,General,https://ted.europa.eu/es/notice/849308-2025/pdf,manual,2026-09-01,
Benicàssim,Castellón,Comunidad Valenciana,,,,contratacion@benicassim.org,Contratación,https://ayto.benicassim.es/departamento/contratacion/,manual,2026-09-01,
Castellón de la Plana,Castellón,Comunidad Valenciana,,,,plataformadecontratacion@castello.es,Contratación,https://ted.europa.eu/es/notice/764123-2025/pdf,manual,2026-09-01,
Almassora,Castellón,Comunidad Valenciana,,,,e-ajuntament@almassora.es,General,https://sede.almassora.es/es/articulos/contratos-y-encargos-formalizados,manual,2026-09-01,
Burriana,Castellón,Comunidad Valenciana,,,,info@burriana.es,General,https://carpetaciutadana.burriana.es/,manual,2026-09-01,
Nules,Castellón,Comunidad Valenciana,,,,nules@gva.es,General,https://administracion.gob.es/pagFront/espanaAdmon/directorioOrganigrama/fichaUnidadOrganica.htm,manual,2026-09-01,
Moncofa,Castellón,Comunidad Valenciana,,,,contractacio@moncofa.com,Contratación,https://ted.europa.eu/es/notice/171570-2025/pdf,manual,2026-09-01,
Xilxes,Castellón,Comunidad Valenciana,,,,ajuntament@xilxes.es,General,http://www.xilxes.es/,manual,2026-09-01,
La Llosa,Castellón,Comunidad Valenciana,,,,aytolallosa@yahoo.es,General (sin verificar),https://www.ayuntamiento.org/la-llosa.htm,manual,2026-09-01,
Almenara,Castellón,Comunidad Valenciana,,,,ayuntamiento@almenara.es,General,https://www.todoslosayuntamientos.es/comunidad-valenciana/castellon/almenara,manual,2026-09-01,
Cabanes,Castellón,Comunidad Valenciana,,,,cabanes_adm@gva.es,General,https://administracion.gob.es/pagFront/espanaAdmon/directorioOrganigrama/fichaUnidadOrganica.htm,manual,2026-09-01,
Canet d'en Berenguer,Valencia,Comunidad Valenciana,,,,alcaldia@canetdenberenguer.es,General,https://www.todoslosayuntamientos.es/comunidad-valenciana/valencia/canet-d-en-berenguer,manual,2026-09-01,
Sagunto,Valencia,Comunidad Valenciana,,,,info@aytosagunto.es,General,https://aytosagunto.es/es/ayuntamiento/telefonos-de-contacto/,manual,2026-09-01,
Puçol,Valencia,Comunidad Valenciana,,,,registro@pucol.es,General,https://www.todoslosayuntamientos.es/comunidad-valenciana/valencia/pucol,manual,2026-09-01,
El Puig de Santa Maria,Valencia,Comunidad Valenciana,,,,alcaldia@elpuig.org,General,https://www.todoslosayuntamientos.es/comunidad-valenciana/valencia/puig-de-santa-maria-el,manual,2026-09-01,
La Pobla de Farnals,Valencia,Comunidad Valenciana,,,,secretaria@lapobladefarnals.es,Contratación,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2018-30481,manual,2026-09-01,
Alboraya,Valencia,Comunidad Valenciana,,,,amic@alboraya.com,General,https://ciudadservicios.com/ayuntamiento-de-alboraya/,manual,2026-09-01,
Valencia,Valencia,Comunidad Valenciana,,,,informacion@valencia.es,General,https://www.todoslosayuntamientos.es/comunidad-valenciana/valencia/valencia,manual,2026-09-01,
Sueca,Valencia,Comunidad Valenciana,,,,sueca@sueca.es,General,https://www.todoslosayuntamientos.es/comunidad-valenciana/valencia/sueca,manual,2026-09-01,
Cullera,Valencia,Comunidad Valenciana,,,,registre@cullera.es,General,https://www.todoslosayuntamientos.es/comunidad-valenciana/valencia/cullera,manual,2026-09-01,
Tavernes de la Valldigna,Valencia,Comunidad Valenciana,,,,info@tavernes.org,General,https://www.todoslosayuntamientos.es/comunidad-valenciana/valencia/tavernes-de-la-valldigna,manual,2026-09-01,
Xeraco,Valencia,Comunidad Valenciana,,,,xeraco_alc@gva.es,General,https://www.todoslosayuntamientos.es/comunidad-valenciana/valencia/xeraco,manual,2026-09-01,
Gandia,Valencia,Comunidad Valenciana,,,,contratacion.patrimonio@gandia.org,Contratación,https://www.gandia.es/,manual,2026-09-01,
Daimús,Valencia,Comunidad Valenciana,,,,ajuntament@ajuntamentdaimus.com,General,https://www.ajuntamentdaimus.com/en/contacta/,manual,2026-09-01,
Bellreguard,Valencia,Comunidad Valenciana,,,,secretaria@bellreguard.net,General,https://web.bellreguard.net/ayuntamiento-2/,manual,2026-09-01,
Piles,Valencia,Comunidad Valenciana,,,,alcalde@ajuntamentpiles.es,General,https://chatgva.com/ayuntamientos/ayuntamiento-de-piles,manual,2026-09-01,
Miramar,Valencia,Comunidad Valenciana,,,,info@ajumiramar.org,General,https://miramar.divaladl.es/es,manual,2026-09-01,
Oliva,Valencia,Comunidad Valenciana,,,,mpeiro@oliva.es,Contratación,https://ted.europa.eu/es/notice/401988-2025/pdf,manual,2026-09-01,
Dénia,Alicante,Comunidad Valenciana,,,,contractacio@ayto-denia.es,Contratación,https://www.denia.es/,manual,2026-09-01,
Xàbia (Jávea),Alicante,Comunidad Valenciana,,,,info@ajxabia.com,General,https://www.ajxabia.com/ver/2977/directorio.html,manual,2026-09-01,
Teulada-Moraira,Alicante,Comunidad Valenciana,,,,contratacion@teuladamoraira.org,Contratación,https://ted.europa.eu/es/notice/421667-2025/pdf,manual,2026-09-01,
Benissa,Alicante,Comunidad Valenciana,,,,contratacion@ajbenissa.es,Contratación,https://www.ajbenissa.es/ayuntamiento/contratacion/,manual,2026-09-01,
Calp,Alicante,Comunidad Valenciana,,,,oac@ajcalp.es,General,https://www.calp.es/es/aviso-legal,manual,2026-09-01,
Altea,Alicante,Comunidad Valenciana,,,,participacio@altea.es,Urbanismo,https://altea.es/es/perfil-del-contratante/,manual,2026-09-02,
l'Alfàs del Pi,Alicante,Comunidad Valenciana,,,,alcaldia@lalfas.com,General,https://ciudadano.lalfas.es/,manual,2026-09-01,
Benidorm,Alicante,Comunidad Valenciana,,,,incidencias@benidorm.org,General,https://benidorm.org/es/pagina/contacto,manual,2026-09-01,
Villajoyosa (la Vila Joiosa),Alicante,Comunidad Valenciana,,,,oac@villajoyosa.com,General,https://www.villajoyosa.com/plataforma-de-licitacion-electronica/,manual,2026-09-01,
El Campello,Alicante,Comunidad Valenciana,,,,ayuntamiento@elcampello.org,General,https://www.elcampello.es/,manual,2026-09-01,
Alicante,Alicante,Comunidad Valenciana,,,,contratacion@alicante-ayto.es,Contratación,https://www.alicante.es/es/directorio/servicio-de-contrataci%C3%B3n,manual,2026-09-01,
Elche,Alicante,Comunidad Valenciana,,,,contratacion@elche.es,Contratación,https://ted.europa.eu/en/notice/545355-2023/pdf,manual,2026-09-01,
Santa Pola,Alicante,Comunidad Valenciana,,,,info@santapola.es,General,https://www.santapola.es/,manual,2026-09-01,
Guardamar del Segura,Alicante,Comunidad Valenciana,,,,alcaldia@alcaldiaguardamar.com,General,https://www.guardamardelsegura.es/aviso-legal-2/,manual,2026-09-01,
Torrevieja,Alicante,Comunidad Valenciana,,,,urbanismo@torrevieja.eu,No encontrado,https://torrevieja.es/es/temas/servicios-generales/contratacion,manual,2026-09-02,
Orihuela,Alicante,Comunidad Valenciana,,,,contratacion@orihuela.es,Contratación,https://www.orihuela.es/administracion/contratacion/,manual,2026-09-01,
Pilar de la Horadada,Alicante,Comunidad Valenciana,,,,,No encontrado,https://www.pilardelahoradada.org/areas/contratacion,manual,2026-09-01,
Palma,Illes Balears,Islas Baleares,,,,secciocontractacio@palma.es,Contratación,https://perfilcontractant.palma.es/,manual,2026-09-01,
Calvià,Illes Balears,Islas Baleares,,,,calvia@calvia.com,Urbanismo,https://www.calvia.com/ca/ajuntament/perfil-del-contractant,manual,2026-09-02,
Andratx,Illes Balears,Islas Baleares,,,,contractacio@andratx.es,Contratación,https://andratx.es/es/arees-municipals/unidad-de-contratacion-administrativa,manual,2026-09-01,
Estellencs,Illes Balears,Islas Baleares,,,,ajuntament@ajestellencs.net,General,https://www.ajestellencs.net,manual,2026-09-01,
Banyalbufar,Illes Balears,Islas Baleares,,,,ajbanyalbufar@ajbanyalbufar.net,General,https://www.ajbanyalbufar.net,manual,2026-09-01,
Valldemossa,Illes Balears,Islas Baleares,,,,ajuntament@ajvalldemossa.net,General,https://www.ajvalldemossa.net,manual,2026-09-01,
Deià,Illes Balears,Islas Baleares,,,,ajuntament@ajdeia.net,General,https://www.ajdeia.net,manual,2026-09-01,
Sóller,Illes Balears,Islas Baleares,,,,mediambient@a-soller.es,Medioambiente,https://ajsoller.net,manual,2026-09-02,
Escorca,Illes Balears,Islas Baleares,,,,ajuntament@ajescorca.net,General,https://www.ajescorca.net,manual,2026-09-01,
Pollença,Illes Balears,Islas Baleares,,,,mediambient@ajpollenca.net,Medioambiente,http://www.ajpollenca.net/ca/perfil-del-contractant,manual,2026-09-02,
Alcúdia,Illes Balears,Islas Baleares,,,,emsa@alcudia.net,Medioambiente,https://www.alcudia.net/ajuntament/ca/Tauler_de_contractacio/,manual,2026-09-02,
Muro,Illes Balears,Islas Baleares,,,,mediambient@vilademuro.net,Medioambiente,https://ajmuro.net/ca/formulari-de-contacte,manual,2026-09-02,
Santa Margalida,Illes Balears,Islas Baleares,,,,,No encontrado,https://seu-e.net/stamargalida/perfil-del-contractant,manual,2026-09-01,
Artà,Illes Balears,Islas Baleares,,,,,No encontrado,https://www.arta.cat,manual,2026-09-01,
Capdepera,Illes Balears,Islas Baleares,,,,ajuntament@ajcapdepera.net,General,https://www.ajcapdepera.net,manual,2026-09-01,
Son Servera,Illes Balears,Islas Baleares,,,,ajuntament@sonservera.es,General,https://www.sonservera.es,manual,2026-09-01,
Sant Llorenç des Cardassar,Illes Balears,Islas Baleares,,,,,No encontrado,http://www.santllorenc.es/,manual,2026-09-01,
Manacor,Illes Balears,Islas Baleares,,,,consultesurbanisme@manacor.org,Urbanismo,http://www.manacor.org/contractacio/,manual,2026-09-02,
Felanitx,Illes Balears,Islas Baleares,,,,,No encontrado,https://www.felanitx.org,manual,2026-09-01,
Santanyí,Illes Balears,Islas Baleares,,,,,No encontrado,https://www.ajsantanyi.net/S-ajuntament/contractacio/contractacio.ct.html,manual,2026-09-01,
Ses Salines,Illes Balears,Islas Baleares,,,,,No encontrado,http://www.ajsessalines.net/contractacio/index.ct.html,manual,2026-09-01,
Campos,Illes Balears,Islas Baleares,,,,,No encontrado,https://ajcampos.net/ca/form/form,manual,2026-09-01,
Llucmajor,Illes Balears,Islas Baleares,,,,,No encontrado,https://www.llucmajor.org,manual,2026-09-01,
Maó,Illes Balears,Islas Baleares,,,,,No encontrado,https://www.ajmao.org/,manual,2026-09-01,
Es Castell,Illes Balears,Islas Baleares,,,,general@aj-escastell.org,General,https://www.atib.es/DescargaDocs/Annex2.pdf,manual,2026-09-01,
Sant Lluís,Illes Balears,Islas Baleares,,,,sonia@ajsantlluis.org,Contratación,https://www.ajsantlluis.org/Contingut.aspx?IdPub=12595,manual,2026-09-01,
Alaior,Illes Balears,Islas Baleares,,,,registre@aj-alaior.org,General,https://www.atib.es/DescargaDocs/Annex2.pdf,manual,2026-09-01,
Es Mercadal,Illes Balears,Islas Baleares,,,,general@esmercadal.es,General,https://www.aj-esmercadal.org/contingut?idioma=3,manual,2026-09-01,
Ferreries,Illes Balears,Islas Baleares,,,,general@ajferreries.org,General,https://www.atib.es/DescargaDocs/Annex2.pdf,manual,2026-09-01,
Ciutadella de Menorca,Illes Balears,Islas Baleares,,,,bustiaciutada@ajciutadella.org,General,https://www.atib.es/DescargaDocs/Annex2.pdf,manual,2026-09-01,
Es Migjorn Gran,Illes Balears,Islas Baleares,,,,general@ajmigjorngran.org,General,https://www.atib.es/DescargaDocs/Annex2.pdf,manual,2026-09-01,
Eivissa,Illes Balears,Islas Baleares,,,,webmaster@eivissa.es,General,https://www.atib.es/DescargaDocs/Annex2.pdf,manual,2026-09-01,
Sant Antoni de Portmany,Illes Balears,Islas Baleares,,,,ajuntament@santantoni.net,General,https://www.atib.es/DescargaDocs/Annex2.pdf,manual,2026-09-01,
Sant Josep de sa Talaia,Illes Balears,Islas Baleares,,,,protocol@santjosepdesatalaia.cat,General,https://www.atib.es/DescargaDocs/Annex2.pdf,manual,2026-09-01,
Santa Eulària des Riu,Illes Balears,Islas Baleares,,,,ajuntament@santaeularia.com,General,https://www.atib.es/DescargaDocs/Annex2.pdf,manual,2026-09-01,
Sant Joan de Labritja,Illes Balears,Islas Baleares,,,,info@sant-joan.com,General,https://www.atib.es/DescargaDocs/Annex2.pdf,manual,2026-09-01,
Formentera,Illes Balears,Islas Baleares,,,,consell@formentera.es,General,https://www.atib.es/DescargaDocs/Annex2.pdf,manual,2026-09-01,
Las Palmas de Gran Canaria,Las Palmas,Canarias,,,,,No encontrado,https://www.laspalmasgc.es/es/ayuntamiento/telefonos-municipales/,manual,2026-09-01,
Telde,Las Palmas,Canarias,,,,,No encontrado,https://www.telde.es/ayuntamiento/contactar/listado-de-telefonos/contratacion/,manual,2026-09-01,
Ingenio,Las Palmas,Canarias,,,,,No encontrado,https://ingenio.es/contratacion-2/,manual,2026-09-01,
Agüimes,Las Palmas,Canarias,,,,,No encontrado,https://www.aguimes.es/,manual,2026-09-01,
Santa Lucía de Tirajana,Las Palmas,Canarias,,,,,No encontrado,https://www.santaluciagc.com/,manual,2026-09-01,
San Bartolomé de Tirajana,Las Palmas,Canarias,,,,sedeelectronica@maspalomas.com,General,https://sede.maspalomas.com/publico/contratacion,manual,2026-09-01,
Mogán,Las Palmas,Canarias,,,,info@mogan.es,General,https://transparencia.mogan.es/es/,manual,2026-09-01,
La Aldea de San Nicolás,Las Palmas,Canarias,,,,,No encontrado,http://www.laaldeadesannicolas.es/,manual,2026-09-01,
Gáldar,Las Palmas,Canarias,,,,,No encontrado,https://www.galdar.es/contacto/,manual,2026-09-01,
Agaete,Las Palmas,Canarias,,,,,No encontrado,https://www.agaete.es/,manual,2026-09-01,
Arucas,Las Palmas,Canarias,,,,contratacion@arucas.org,Contratación,https://www.arucas.org/,manual,2026-09-01,
Santa María de Guía,Las Palmas,Canarias,,,,,No encontrado,http://www.santamariadeguia.es/,manual,2026-09-01,
Puerto del Rosario,Las Palmas,Canarias,,,,protocolo@puertodelrosario.org,General,https://www.puertodelrosario.org/contacto/,manual,2026-09-01,
Antigua,Las Palmas,Canarias,,,,atencionalciudadano@ayto-antigua.es,General,https://ayto-antigua.es/,manual,2026-09-01,
Tuineje,Las Palmas,Canarias,,,,,No encontrado,https://tuineje.es/guia-telefonica/,manual,2026-09-01,
Pájara,Las Palmas,Canarias,,,,info@pajara.es,General,https://www.pajara.es/contacto/,manual,2026-09-01,
La Oliva,Las Palmas,Canarias,,,,,No encontrado,http://www.laoliva.es,manual,2026-09-01,
Arrecife,Las Palmas,Canarias,,,,,No encontrado,https://www.arrecife.es/,manual,2026-09-01,
Teguise,Las Palmas,Canarias,,,,,No encontrado,https://teguise.es/contratacion-publica/,manual,2026-09-01,
Haría,Las Palmas,Canarias,,,,,No encontrado,http://www.ayuntamientodeharia.com,manual,2026-09-01,
Tinajo,Las Palmas,Canarias,,,,vrodriguez@tinajo.es,General (nominal),https://www.tinajo.es/,manual,2026-09-01,
Yaiza,Las Palmas,Canarias,,,,,No encontrado,https://yaiza.es/,manual,2026-09-01,
San Bartolomé,Las Palmas,Canarias,,,,,No encontrado,http://www.sanbartolome.es/,manual,2026-09-01,
Tías,Las Palmas,Canarias,,,,info@tias.org,General,http://www.ayuntamientodetias.es/,manual,2026-09-01,
Santa Cruz de Tenerife,Santa Cruz de Tenerife,Canarias,,,,,No encontrado,https://www.santacruzdetenerife.es/,manual,2026-09-01,
San Cristóbal de La Laguna,Santa Cruz de Tenerife,Canarias,,,,,No encontrado,https://www.aytolalaguna.es/ayuntamiento/perfil-del-contratante/,manual,2026-09-01,
El Rosario,Santa Cruz de Tenerife,Canarias,,,,,No encontrado,https://www.ayuntamientoelrosario.org/,manual,2026-09-01,
Candelaria,Santa Cruz de Tenerife,Canarias,,,,sedeelectronica@candelaria.es,General,https://sedeelectronica.candelaria.es/,manual,2026-09-01,
Güímar,Santa Cruz de Tenerife,Canarias,,,,,No encontrado,https://www.guimar.es/,manual,2026-09-01,
Fasnia,Santa Cruz de Tenerife,Canarias,,,,,No encontrado,http://www.ayuntamientodefasnia.es/,manual,2026-09-01,
Arico,Santa Cruz de Tenerife,Canarias,,,,,No encontrado,https://www.ayuntamientodearico.com/,manual,2026-09-01,
Granadilla de Abona,Santa Cruz de Tenerife,Canarias,,,,,No encontrado,https://www.granadilladeabona.org/telefonos-interes/,manual,2026-09-01,
San Miguel de Abona,Santa Cruz de Tenerife,Canarias,,,,,No encontrado,https://www.sanmigueldeabona.es/,manual,2026-09-01,
Arona,Santa Cruz de Tenerife,Canarias,,,,portalweb@arona.org,General,https://www.arona.org/,manual,2026-09-01,
Adeje,Santa Cruz de Tenerife,Canarias,,,,,No encontrado,https://www.adeje.es/,manual,2026-09-01,
Guía de Isora,Santa Cruz de Tenerife,Canarias,,,,,No encontrado,https://www.guiadeisora.org/,manual,2026-09-01,
Santiago del Teide,Santa Cruz de Tenerife,Canarias,,,,,No encontrado,https://www.santiagodelteide.es/,manual,2026-09-01,
Buenavista del Norte,Santa Cruz de Tenerife,Canarias,,,,ayuntamiento@buenavistadelnorte.es,General,https://www.buenavistadelnorte.es/,manual,2026-09-01,
Los Silos,Santa Cruz de Tenerife,Canarias,,,,ayuntamiento@lossilos.es,General,https://www.lossilos.es/,manual,2026-09-01,
Garachico,Santa Cruz de Tenerife,Canarias,,,,alcaldia@garachico.es,General,https://www.garachico.es/,manual,2026-09-01,
Icod de los Vinos,Santa Cruz de Tenerife,Canarias,,,,atencionciudadana@icoddelosvinos.es,General,https://www.icoddelosvinos.es/,manual,2026-09-01,
San Juan de la Rambla,Santa Cruz de Tenerife,Canarias,,,,info@sanjuandelarambla.es,General,https://www.sanjuandelarambla.es/,manual,2026-09-01,
